host_id,cpe,banner,source_id
2985CF79292411EAA9F2000CB4808142,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB482A3F0,cpe:/a:igor_sysoev:nginx:1.14.2,nginx 1.14.2,5
2985CF79292411EAA9F2000CB482A3F0,cpe:/a:openbsd:openssh:7.9p1,OpenSSH 7.9p1 Debian 10+deb10u1 protocol 2.0,5
2985CF79292411EAA9F2000CB482A3F0,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB484F506,cpe:/a:apache:http_server,Apache httpd,5
2985CF79292411EAA9F2000CB484F506,cpe:/a:openbsd:openssh:6.7p1,OpenSSH 6.7p1 protocol 2.0,5
2985CF79292411EAA9F2000CB484F506,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB48A6496,cpe:/a:openbsd:openssh:7.4,OpenSSH 7.4 protocol 2.0,5
2985CF79292411EAA9F2000CB48A6496,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB48E23C4,cpe:/a:openbsd:openssh:7.4,OpenSSH 7.4 protocol 2.0,5
2985CF79292411EAA9F2000CB48E23C4,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB4923B44,cpe:/a:apache:http_server:2.4.33,Apache httpd 2.4.33 (Unix) OpenSSL/1.0.2o PHP/7.2.6 mod_perl/2.0.8-dev Perl/v5.16.3,5
2985CF79292411EAA9F2000CB4923B44,cpe:/a:mysql:mysql,MySQL blocked - too many connection errors,5
2985CF79292411EAA9F2000CB4923B44,cpe:/a:openbsd:openssh:7.4,OpenSSH 7.4 protocol 2.0,5
2985CF79292411EAA9F2000CB4923B44,cpe:/a:proftpd:proftpd:1.3.4c,ProFTPD 1.3.4c,5
2985CF79292411EAA9F2000CB4923B44,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB496828A,cpe:/a:openbsd:openssh:5.3,OpenSSH 5.3 protocol 2.0,5
2985CF79292411EAA9F2000CB496828A,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB499954C,cpe:/a:mongodb:mongodb:3.2.21,MongoDB 3.2.21 3.2.21,5
2985CF79292411EAA9F2000CB499954C,cpe:/a:mysql:mysql,MySQL blocked - too many connection errors,5
2985CF79292411EAA9F2000CB499954C,cpe:/a:openbsd:openssh:5.3,OpenSSH 5.3 protocol 2.0,5
2985CF79292411EAA9F2000CB499954C,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB49CE300,cpe:/o:vmware:esxi:5.5,Vmware Esxi 5.5,5
2985CF79292411EAA9F2000CB4A16858,cpe:/a:openbsd:openssh:6.6.1,OpenSSH 6.6.1 protocol 2.0,5
2985CF79292411EAA9F2000CB4A16858,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB4A49DF2,cpe:/a:mongodb:mongodb:4.0.13,MongoDB 4.0.13,5
2985CF79292411EAA9F2000CB4A49DF2,cpe:/a:openbsd:openssh:7.4,OpenSSH 7.4 protocol 2.0,5
2985CF79292411EAA9F2000CB4A49DF2,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB4AD8B06,cpe:/a:apache:coyote_http_connector:1.1,Apache Tomcat/Coyote JSP engine 1.1,5
2985CF79292411EAA9F2000CB4AD8B06,cpe:/a:openbsd:openssh:5.3,OpenSSH 5.3 protocol 2.0,5
2985CF79292411EAA9F2000CB4AD8B06,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB4B1B212,cpe:/a:igor_sysoev:nginx,nginx,5
2985CF79292411EAA9F2000CB4B1B212,cpe:/a:openbsd:openssh:5.3,OpenSSH 5.3 protocol 2.0,5
2985CF79292411EAA9F2000CB4B1B212,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB4B5C2BC,cpe:/a:apache:coyote_http_connector:1.1,Apache Tomcat/Coyote JSP engine 1.1,5
